번호	기술명	제작법
TM001	돌진	400 LP 맛보돈의털 * 3 영구스의털 * 3
		
TM002	애교부리기	400 LP 루리리의털 * 3 깜지곰의손톱 * 3
		
TM003	거짓울음	400 LP 꼬지지의눈물 * 3 깜지곰의손톱 * 3
		
TM004	고속이동	800 LP 화살꼬빈의깃털 * 3 춤추새의깃털 * 3
		
TM005	진흙뿌리기	200 LP 우파의점액 * 3
		
TM006	겁나는얼굴	400 LP 노라키의Hair * 3 깜눈크의발톱 * 3
		
TM007	방어	400 LP 맛보돈의털 * 3 분이벌레의가루 * 3
		
TM008	불꽃엄니	800 LP 델빌의이빨 * 3
		
TM009	번개엄니	800 LP 꼬링크의이빨 * 3
		
TM010	얼음엄니	800 LP 코고미의털 * 3
		
TM011	물의파동	1500 LP 브이젤의털 * 3 잉어킹의비늘 * 3
		
TM012	안다리걸기	400 LP 망키의털 * 3
		
TM013	애시드봄	800 LP 일레즌의Sparks * 3 우파의점액 * 3
		
TM014	애크러뱃	3000 LP 찌리비의깃털 * 3 떨구새의깃털 * 3
		
TM015	벌레의저항	400 LP 타랜툴라의실 * 3
		
TM016	환상빔	800 LP 고라파덕의솜털 * 3
		
TM017	이상한빛	400 LP 고오스의가스 * 3 메리프의털뭉치 * 3
		
TM018	도둑질	3000 LP 델빌의이빨 * 3 땃쭈르의잉크 * 3
		
TM019	차밍보이스	200 LP 랄토스의유실물 * 3
		
TM020	개척하기	800 LP 치릴리의잎 * 3 통통코의잎 * 3
		
TM021	덤벼들기	800 LP 콩알뚜기의발톱 * 3 타랜툴라의실 * 3
		
TM022	찬물끼얹기	3000 LP 고라파덕의솜털 * 3 비구술의꿀 * 3
		
TM023	차지빔	800 LP 메리프의털뭉치 * 3 데덴네의털 * 3
		
TM024	회오리불꽃	800 LP 가디의털 * 3 코터스의석탄 * 3
		
TM025	객기	5000 LP 자말라의발톱 * 3 어리짱의털 * 3 노라키의Hair * 3
		
TM026	포이즌테일	800 LP 세비퍼의이빨 * 3 땃쭈르의잉크 * 3
		
TM027	제비반환	800 LP 찌르꼬의깃털 * 3 화살꼬빈의깃털 * 3
		
TM028	땅고르기	1500 LP 머드나기의진흙 * 3 모래꿍의모래 * 3
		
TM029	병상첨병	3000 LP 따라큐의천조각 * 3 망망이의촛농 * 3
		
TM030	바크아웃	800 LP 오라티프의이빨 * 3 시비꼬의깃털 * 3
		
TM031	메탈클로	400 LP 깜지곰의손톱 * 3
		
TM032	스피드스타	200 LP 화살꼬빈의깃털 * 3
		
TM033	매지컬리프	1500 LP 미니브의오일 * 3 치릴리의잎 * 3
		
TM034	얼어붙은바람	800 LP 누니머기의실 * 3 눈쓰개의열매 * 3
		
TM035	머드숏	800 LP 깜눈크의발톱 * 3 우파의점액 * 3
		
TM036	암석봉인	1500 LP 암멍이의바위 * 3 절벼게의집게 * 3
		
TM037	드레인키스	800 LP 푸푸린의털 * 3 플라베베의꽃가루 * 3
		
TM038	니트로차지	800 LP 화살꼬빈의깃털 * 3 코터스의석탄 * 3
		
TM039	로킥	3000 LP 삐딱구리의독소 * 3 망키의털 * 3
		
TM040	에어컷터	400 LP 세꿀버리의꿀 * 3
		
TM041	어시스트파워	800 LP 고디탱의Eyelash * 3 랄토스의유실물 * 3
		
TM042	나이트헤드	400 LP 고오스의가스 * 3 니로우의보물 * 3
		
TM043	내던지기	3000 LP 포푸니의손톱 * 3 핑복의유실물 * 3
		
TM044	드래곤테일	1500 LP 미뇽의비늘 * 3 깜눈크의발톱 * 3
		
TM045	베놈쇼크	3000 LP 일레즌의Sparks * 3 야도뇽의가스 * 3
		
TM046	눈사태	1500 LP 꽁어름의얼음 * 3 눈꼬마의털 * 3
		
TM047	버티기	200 LP 분이벌레의가루 * 3
		
TM048	볼트체인지	3000 LP 데덴네의털 * 3 꼬링크의이빨 * 3
		
TM049	쾌청	3000 LP 해너츠의잎 * 3 코터스의석탄 * 3 레오꼬의갈기 * 3
		
TM050	비바라기	3000 LP 깝질무의점액 * 3 루리리의털 * 3 찌리비의깃털 * 3
		
TM051	모래바람	3000 LP 히포포타스의모래 * 3 모래뱀의모래 * 3 모래꿍의모래 * 3
		
TM052	설경	3000 LP 눈쓰개의열매 * 3 딜리버드의짐 * 3 누니머기의실 * 3
		
TM053	스마트혼	3000 LP 깨물부기의발톱 * 3 헤라크로스의발톱 * 3
		
TM054	사이코쇼크	5000 LP 요가랑의땀 * 3 피그점프의진주 * 3 슬리프의털 * 3
		
TM055	구멍파기	5000 LP 디그다의흙 * 3 망망이의촛농 * 3 꿈트렁의녹 * 3
		
TM056	씨기관총	3000 LP 해너츠의잎 * 3 통통코의잎 * 3
		
TM057	칼등치기	400 LP 귀뚤뚜기의허물 * 3 깨물부기의발톱 * 3
		
TM058	깨트리기	5000 LP 마크탕의땀 * 3 루차불의Down * 3 오기지게의껍데기 * 3
		
TM059	사념의박치기	5000 LP 가비루사의토막 * 3 키링키의털 * 3 노고치의비늘 * 3
		
TM060	유턴	3000 LP 콩알뚜기의발톱 * 3 스라크의발톱 * 3
		
TM061	섀도클로	3000 LP 따라큐의천조각 * 3 자말라의발톱 * 3
		
TM062	속임수	3000 LP 니로우의보물 * 3 깜눈크의발톱 * 3
		
TM063	사이코팽	10000 LP 치갈기의이빨 * 5 배쓰나이의이빨 * 3 가비루사의토막 * 3
		
TM064	벌크업	3000 LP 마크탕의땀 * 3 터검니의Scales * 3
		
TM065	에어슬래시	5000 LP 음뱃의털 * 3 갈모매의깃털 * 3 꼬이밍고의솜털 * 3
		
TM066	누르기	5000 LP 탐리스의털 * 3 맘복치의Mucus * 3 깨물부기의발톱 * 3
		
TM067	불꽃펀치	5000 LP 요가랑의땀 * 3 카르본의검댕 * 3
		
TM068	번개펀치	5000 LP 일레즌의Sparks * 3 요가랑의땀 * 3
		
